epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,198.63,3.19636,4.0829,0.0109,0.53691,0.20525,0.20656,0.08855,2.95777,2.36649,0.00725,0.000475424,0.000475424,0.000475424
2,369.99,3.03554,2.25767,0.00675,0.32262,0.25304,0.24562,0.10785,2.89142,2.04849,0.00582,0.000942335,0.000942335,0.000942335
3,543.435,3.04561,1.9757,0.00586,0.37325,0.32676,0.30585,0.14998,2.73027,2.08884,0.0052,0.00139981,0.00139981,0.00139981
4,714.759,2.95597,1.83684,0.00514,0.35789,0.32579,0.30595,0.16658,2.59804,1.6053,0.00471,0.00138656,0.00138656,0.00138656
5,886.385,2.83806,1.73182,0.00489,0.4014,0.36548,0.34852,0.17698,2.49833,1.61525,0.00458,0.00137241,0.00137241,0.00137241
6,1056.82,2.84527,1.71782,0.00457,0.41911,0.39451,0.36011,0.18994,2.39012,1.55933,0.00406,0.00135826,0.00135826,0.00135826
7,1221.26,2.76417,1.65063,0.0045,0.40426,0.38324,0.36445,0.19653,2.40249,1.44839,0.00414,0.00134412,0.00134412,0.00134412
