epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,9476.51,2.11098,1.12405,0.00251,0.65674,0.61022,0.59549,0.32238,1.79258,1.07071,0.00281,0.000863116,0.000863116,0.000863116
42,9727.22,2.09704,1.10928,0.00251,0.66347,0.59423,0.59037,0.31575,1.81829,1.04444,0.00285,0.000848969,0.000848969,0.000848969
43,9962.34,2.08048,1.08863,0.00252,0.66256,0.59743,0.59801,0.31951,1.81676,1.04643,0.00282,0.000834822,0.000834822,0.000834822
44,10196.8,2.08534,1.09874,0.00247,0.65538,0.60479,0.60001,0.32135,1.79046,1.02367,0.00278,0.000820675,0.000820675,0.000820675
45,10432.1,2.06468,1.08562,0.00251,0.68632,0.58837,0.60598,0.32684,1.77212,1.00724,0.00274,0.000806528,0.000806528,0.000806528
46,10677.7,2.0479,1.07813,0.00247,0.69335,0.58951,0.60762,0.32521,1.77538,1.02239,0.00274,0.00079238,0.00079238,0.00079238
47,10914.4,2.03611,1.07381,0.00244,0.67347,0.60747,0.60526,0.32996,1.78277,1.02164,0.00276,0.000778233,0.000778233,0.000778233
48,11151.1,2.02992,1.05402,0.00243,0.66489,0.61133,0.60645,0.32904,1.77634,1.0034,0.00272,0.000764086,0.000764086,0.000764086
49,11381.4,2.0112,1.04764,0.00243,0.68303,0.60485,0.61269,0.331,1.76896,1.01489,0.0027,0.000749939,0.000749939,0.000749939
50,11614.1,2.05801,1.07088,0.00238,0.68371,0.60195,0.6136,0.33447,1.76374,1.01455,0.00272,0.000735792,0.000735792,0.000735792
51,11849.7,2.00539,1.04161,0.00238,0.68721,0.59395,0.61017,0.33062,1.75672,1.00326,0.0027,0.000721645,0.000721645,0.000721645
52,12082.5,2.0129,1.03279,0.00241,0.68133,0.62212,0.6167,0.32948,1.77,0.98081,0.00271,0.000707498,0.000707498,0.000707498
53,12312,1.96444,1.02428,0.00238,0.69832,0.61923,0.6197,0.3351,1.76372,0.98427,0.00272,0.000693351,0.000693351,0.000693351
54,12546.4,1.99769,1.02472,0.00234,0.70771,0.60264,0.61842,0.33413,1.75391,1.00058,0.00269,0.000679204,0.000679204,0.000679204
55,12781.3,1.9944,1.01827,0.00235,0.70203,0.62291,0.62281,0.34142,1.73937,0.9992,0.00269,0.000665057,0.000665057,0.000665057
56,13018.1,1.99311,1.01808,0.00232,0.6998,0.61688,0.62202,0.33587,1.7693,1.01087,0.0027,0.000650909,0.000650909,0.000650909
57,13261.3,2.0043,1.02952,0.00235,0.68823,0.62077,0.62886,0.34401,1.74989,0.9824,0.0027,0.000636762,0.000636762,0.000636762
58,13504.4,1.95778,0.99058,0.0023,0.71953,0.6162,0.63678,0.34429,1.74662,0.97243,0.00267,0.000622615,0.000622615,0.000622615
59,13739,1.95009,0.98965,0.00231,0.6854,0.63379,0.6289,0.3446,1.73612,0.98937,0.00266,0.000608468,0.000608468,0.000608468
60,13974.3,1.97428,1.01788,0.00231,0.67608,0.6333,0.62584,0.34131,1.7409,0.96567,0.00265,0.000594321,0.000594321,0.000594321
61,14210.9,2.01255,1.0013,0.00225,0.68554,0.61976,0.62081,0.33855,1.73995,0.98354,0.00265,0.000580174,0.000580174,0.000580174
62,14438.4,1.94785,0.97968,0.0023,0.7003,0.61845,0.62724,0.34195,1.73892,0.9742,0.00265,0.000566027,0.000566027,0.000566027
63,14676.5,1.93495,0.97677,0.00227,0.69025,0.63086,0.63071,0.34574,1.72501,0.96004,0.00261,0.00055188,0.00055188,0.00055188
64,14913.9,1.91157,0.97051,0.00229,0.68966,0.62284,0.63395,0.34764,1.72803,0.9669,0.00263,0.000537733,0.000537733,0.000537733
65,15156.2,1.96127,0.9859,0.0022,0.6843,0.62431,0.63338,0.34264,1.74258,0.97359,0.00265,0.000523586,0.000523586,0.000523586
66,15384.9,1.90034,0.95832,0.00223,0.70938,0.61978,0.63901,0.35405,1.71753,0.96178,0.00265,0.000509438,0.000509438,0.000509438
67,15625.9,1.93146,0.9588,0.00215,0.69807,0.63966,0.64587,0.35558,1.70511,0.97195,0.00259,0.000495291,0.000495291,0.000495291
68,15868,1.90328,0.94591,0.0022,0.68533,0.63755,0.63184,0.34595,1.72722,0.96458,0.00262,0.000481144,0.000481144,0.000481144
69,16113.5,1.89389,0.95296,0.00217,0.68056,0.64494,0.64387,0.35327,1.71105,0.95048,0.0026,0.000466997,0.000466997,0.000466997
70,16346.3,1.9135,0.94929,0.00217,0.69716,0.64659,0.63821,0.34996,1.71722,0.97055,0.00261,0.00045285,0.00045285,0.00045285
71,16575.8,1.90151,0.94012,0.00217,0.68971,0.63402,0.64007,0.35118,1.7079,0.95987,0.00259,0.000438703,0.000438703,0.000438703
72,16807.8,1.89847,0.94942,0.00218,0.70981,0.63934,0.65216,0.3553,1.71406,0.94889,0.0026,0.000424556,0.000424556,0.000424556
73,17043.3,1.90347,0.93936,0.00215,0.68823,0.64343,0.64602,0.35211,1.70717,0.96009,0.0026,0.000410409,0.000410409,0.000410409
74,17276.4,1.89093,0.92589,0.00215,0.68913,0.64908,0.64416,0.34982,1.7155,0.96225,0.00261,0.000396262,0.000396262,0.000396262
75,17508.9,1.86757,0.93158,0.00213,0.66586,0.65858,0.64331,0.35026,1.70938,0.96013,0.0026,0.000382115,0.000382115,0.000382115
76,17748.3,1.87904,0.92708,0.00213,0.70062,0.64621,0.64511,0.35027,1.70509,0.96412,0.00259,0.000367967,0.000367967,0.000367967
77,17983.6,1.85343,0.90584,0.00211,0.69922,0.65283,0.64979,0.35554,1.71282,0.9502,0.0026,0.00035382,0.00035382,0.00035382
78,18210.8,1.8536,0.91481,0.0021,0.67371,0.64676,0.64102,0.34963,1.71884,0.96605,0.0026,0.000339673,0.000339673,0.000339673
79,18445.1,1.84567,0.90252,0.00213,0.68654,0.64978,0.64201,0.35199,1.70756,0.95593,0.00258,0.000325526,0.000325526,0.000325526
80,18677.9,1.84656,0.90194,0.00209,0.67413,0.66302,0.65066,0.35503,1.69773,0.94622,0.00256,0.000311379,0.000311379,0.000311379
81,18905.6,1.84115,0.88959,0.00209,0.68488,0.65948,0.64715,0.35473,1.70003,0.95744,0.00257,0.000297232,0.000297232,0.000297232
82,19139.7,1.84331,0.88915,0.00207,0.67812,0.67283,0.65044,0.3548,1.70263,0.94895,0.00256,0.000283085,0.000283085,0.000283085
83,19374.4,1.8261,0.88901,0.00208,0.68164,0.66256,0.65562,0.35844,1.70338,0.93415,0.00256,0.000268938,0.000268938,0.000268938
84,19607.7,1.80798,0.88076,0.00205,0.68417,0.66399,0.65325,0.35935,1.70686,0.95026,0.00258,0.000254791,0.000254791,0.000254791
85,19840.7,1.83016,0.88759,0.00205,0.70057,0.66101,0.65968,0.36267,1.70236,0.94215,0.00257,0.000240644,0.000240644,0.000240644
86,20076.2,1.8079,0.87701,0.00205,0.6736,0.66286,0.6521,0.36048,1.70017,0.94472,0.00257,0.000226497,0.000226497,0.000226497
87,20312.6,1.82827,0.88875,0.00201,0.6939,0.65495,0.65567,0.35894,1.70617,0.94561,0.00258,0.000212349,0.000212349,0.000212349
88,20537.3,1.81306,0.86704,0.002,0.69919,0.66164,0.6588,0.36144,1.69907,0.94107,0.00258,0.000198202,0.000198202,0.000198202
89,20758.9,1.82309,0.87028,0.002,0.68313,0.65897,0.65032,0.35508,1.7028,0.94278,0.00256,0.000184055,0.000184055,0.000184055
90,20978.9,1.8072,0.86586,0.002,0.68395,0.66054,0.65016,0.35964,1.69752,0.94811,0.00256,0.000169908,0.000169908,0.000169908
91,21229.8,1.70303,0.83707,0.00218,0.69327,0.66022,0.65174,0.35967,1.70278,0.95115,0.00256,0.000155761,0.000155761,0.000155761
92,21448.1,1.70526,0.83343,0.00215,0.69947,0.66348,0.65693,0.35986,1.69726,0.95338,0.00255,0.000141614,0.000141614,0.000141614
93,21666.8,1.67996,0.81736,0.00213,0.69126,0.66566,0.65341,0.36134,1.70193,0.94113,0.00256,0.000127467,0.000127467,0.000127467
94,21885.3,1.67066,0.81306,0.00214,0.7142,0.65417,0.65757,0.36096,1.70808,0.93236,0.00257,0.00011332,0.00011332,0.00011332
95,22107.2,1.66227,0.79595,0.0021,0.69951,0.66373,0.65642,0.36297,1.69921,0.93725,0.00255,9.91726e-05,9.91726e-05,9.91726e-05
96,22329.6,1.67017,0.79332,0.0021,0.68806,0.66127,0.65144,0.36036,1.69591,0.94637,0.00255,8.50255e-05,8.50255e-05,8.50255e-05
97,22548.9,1.65165,0.79496,0.00211,0.69005,0.65973,0.65645,0.3614,1.70298,0.94818,0.00256,7.08784e-05,7.08784e-05,7.08784e-05
98,22767.1,1.64336,0.79262,0.00206,0.6919,0.66824,0.65916,0.36184,1.70331,0.94833,0.00257,5.67313e-05,5.67313e-05,5.67313e-05
99,22986.9,1.65478,0.79589,0.00209,0.70413,0.65229,0.65612,0.36117,1.7064,0.94653,0.00257,4.25842e-05,4.25842e-05,4.25842e-05
100,23208.5,1.66598,0.79955,0.00206,0.6995,0.65891,0.65943,0.3628,1.70441,0.94644,0.00256,2.84371e-05,2.84371e-05,2.84371e-05
