epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,253.233,3.23641,4.36546,0.00929,0.57992,0.23157,0.22726,0.10586,2.91148,2.51135,0.00647,0.000475424,0.000475424,0.000475424
2,493.855,3.03971,2.36003,0.00578,0.3089,0.31079,0.28828,0.15323,2.61671,1.79424,0.00485,0.000942335,0.000942335,0.000942335
3,731.44,2.94434,2.01883,0.00498,0.32769,0.36002,0.3188,0.17129,2.5393,1.7265,0.0048,0.00139981,0.00139981,0.00139981
4,959.681,2.87401,1.90661,0.00452,0.4048,0.38575,0.35403,0.17852,2.41614,1.65078,0.0043,0.00138656,0.00138656,0.00138656
5,1187.55,2.72165,1.7588,0.00423,0.47102,0.40648,0.38438,0.20249,2.30176,1.57635,0.00406,0.00137241,0.00137241,0.00137241
6,1419.46,2.73659,1.72645,0.00399,0.41362,0.36879,0.34763,0.18651,2.49054,1.75163,0.00419,0.00135826,0.00135826,0.00135826
7,1644.63,2.64335,1.65666,0.00394,0.4511,0.42446,0.3991,0.20527,2.31331,1.3985,0.00396,0.00134412,0.00134412,0.00134412
8,1871.62,2.63048,1.64975,0.00383,0.48758,0.43077,0.4183,0.21908,2.22423,1.39496,0.00388,0.00132997,0.00132997,0.00132997
9,2105.22,2.56455,1.54969,0.00363,0.45711,0.44319,0.3985,0.21257,2.25433,1.46319,0.00377,0.00131582,0.00131582,0.00131582
10,2333.89,2.55864,1.53946,0.00345,0.3878,0.43494,0.38732,0.21283,2.25108,1.37949,0.00364,0.00130168,0.00130168,0.00130168
11,2562.59,2.50099,1.52253,0.00352,0.53203,0.4625,0.45573,0.24698,2.08582,1.30581,0.00349,0.00128753,0.00128753,0.00128753
12,2793.22,2.46746,1.49562,0.00341,0.50756,0.45847,0.44306,0.23799,2.15614,1.29498,0.0036,0.00127338,0.00127338,0.00127338
13,3025.14,2.43787,1.48607,0.00335,0.51613,0.48874,0.45957,0.24966,2.0725,1.36576,0.00341,0.00125923,0.00125923,0.00125923
14,3254.56,2.44877,1.4614,0.00326,0.49191,0.49342,0.44363,0.23518,2.12414,1.31313,0.00352,0.00124509,0.00124509,0.00124509
15,3484.24,2.43561,1.44865,0.00319,0.54369,0.49895,0.47718,0.25396,2.04108,1.28104,0.00339,0.00123094,0.00123094,0.00123094
16,3713.48,2.41314,1.42428,0.00317,0.55526,0.51249,0.47592,0.25885,2.03949,1.31363,0.00335,0.00121679,0.00121679,0.00121679
17,3946.85,2.34178,1.37426,0.00316,0.5368,0.538,0.4924,0.26587,2.00524,1.22901,0.0032,0.00120265,0.00120265,0.00120265
18,4174.77,2.31882,1.34811,0.00311,0.55958,0.53577,0.4894,0.26021,2.00994,1.2468,0.00325,0.0011885,0.0011885,0.0011885
19,4403.45,2.30742,1.33522,0.00302,0.56721,0.54298,0.50615,0.26912,1.98677,1.20085,0.00318,0.00117435,0.00117435,0.00117435
20,4633.66,2.31364,1.31478,0.00304,0.57423,0.53174,0.50929,0.27151,1.97074,1.23761,0.00313,0.00116021,0.00116021,0.00116021
21,4865.95,2.28397,1.30835,0.00296,0.56809,0.5207,0.5078,0.27593,1.96582,1.17454,0.00322,0.00114606,0.00114606,0.00114606
22,5099.01,2.29727,1.28618,0.00289,0.58946,0.53978,0.52068,0.27537,1.97685,1.11818,0.00313,0.00113191,0.00113191,0.00113191
23,5326.06,2.26751,1.28704,0.00287,0.54324,0.56027,0.51384,0.27011,1.95038,1.19253,0.00317,0.00111776,0.00111776,0.00111776
24,5550.29,2.23413,1.28984,0.0029,0.61206,0.53972,0.53259,0.28617,1.91894,1.13558,0.0031,0.00110362,0.00110362,0.00110362
25,5777.76,2.28487,1.28944,0.00283,0.57927,0.54313,0.51981,0.27698,1.96119,1.22087,0.00311,0.00108947,0.00108947,0.00108947
26,6006.99,2.23166,1.26995,0.0028,0.59374,0.57621,0.54892,0.29157,1.88739,1.1173,0.00298,0.00107532,0.00107532,0.00107532
27,6236.25,2.20642,1.23113,0.00284,0.60298,0.58332,0.54881,0.29005,1.90425,1.15255,0.00301,0.00106118,0.00106118,0.00106118
28,6461.91,2.20033,1.21806,0.00276,0.57731,0.57683,0.54437,0.29061,1.9041,1.2193,0.00298,0.00104703,0.00104703,0.00104703
29,6686.03,2.16865,1.18993,0.00277,0.61084,0.56123,0.54283,0.28927,1.90442,1.11365,0.00304,0.00103288,0.00103288,0.00103288
30,6910.33,2.17324,1.20252,0.00275,0.65165,0.54883,0.54939,0.30143,1.86742,1.10801,0.00293,0.00101873,0.00101873,0.00101873
31,7137.67,2.18063,1.19979,0.00269,0.64854,0.53424,0.53745,0.29146,1.88156,1.138,0.00293,0.00100459,0.00100459,0.00100459
32,7360.64,2.13642,1.18867,0.00272,0.65508,0.56583,0.57101,0.30297,1.85379,1.06959,0.00289,0.00099044,0.00099044,0.00099044
33,7588.13,2.17713,1.18973,0.00268,0.63875,0.58135,0.56717,0.30468,1.86304,1.07778,0.00291,0.000976293,0.000976293,0.000976293
34,7816.16,2.12242,1.1418,0.00263,0.63931,0.57624,0.56055,0.29798,1.88702,1.10033,0.00294,0.000962146,0.000962146,0.000962146
35,8050.61,2.13977,1.17776,0.00263,0.62732,0.59347,0.57427,0.31145,1.82125,1.09466,0.00285,0.000947999,0.000947999,0.000947999
36,8287.32,2.12796,1.166,0.00258,0.65069,0.60084,0.58932,0.31555,1.81677,1.0553,0.00284,0.000933851,0.000933851,0.000933851
37,8522.67,2.10173,1.14376,0.00267,0.62616,0.60172,0.59045,0.32244,1.79229,1.05303,0.00278,0.000919704,0.000919704,0.000919704
38,8755.63,2.10578,1.14536,0.00258,0.65853,0.56817,0.57327,0.31312,1.81803,1.07976,0.00283,0.000905557,0.000905557,0.000905557
39,8988.09,2.11469,1.12414,0.0026,0.66637,0.58512,0.58641,0.31009,1.82721,1.05087,0.00281,0.00089141,0.00089141,0.00089141
40,9237.31,2.07994,1.11958,0.00256,0.64265,0.60461,0.58379,0.31296,1.80882,1.06137,0.00283,0.000877263,0.000877263,0.000877263
