epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,257.555,3.18877,5.35892,0.00693,0.56637,0.18043,0.18447,0.08035,2.63024,2.98529,0.00503,0.000475878,0.000475878,0.000475878
2,458.851,2.70378,3.11003,0.00508,0.33323,0.29892,0.27219,0.12698,2.50642,2.47179,0.00433,0.000857943,0.000857943,0.000857943
3,655.931,2.5887,2.61131,0.00469,0.70666,0.24168,0.31338,0.15381,2.35147,2.35008,0.00402,0.00114569,0.00114569,0.00114569
4,1026.23,2.43224,2.38074,0.00435,0.39588,0.36268,0.35327,0.18271,2.25668,2.10488,0.00376,0.00100459,0.00100459,0.00100459
5,1228.63,2.37551,2.20505,0.00413,0.42131,0.39689,0.38181,0.19946,2.15158,1.91507,0.0035,0.000863116,0.000863116,0.000863116
6,1492.33,2.28555,2.08905,0.00391,0.4449,0.43297,0.40113,0.21324,2.12434,1.83531,0.00342,0.000721645,0.000721645,0.000721645
7,1795.66,2.23535,2.00719,0.00371,0.419,0.44555,0.41763,0.22292,2.05554,1.78213,0.00329,0.000580174,0.000580174,0.000580174
8,2403.27,2.17156,1.9031,0.00355,0.47479,0.44664,0.43451,0.23004,2.03665,1.74985,0.00325,0.000438703,0.000438703,0.000438703
9,3183.01,2.1436,1.84108,0.00346,0.49447,0.45082,0.45141,0.24503,1.96832,1.67015,0.00308,0.000297232,0.000297232,0.000297232
10,3371.58,2.09036,1.75867,0.00336,0.49122,0.46895,0.45195,0.24461,1.97585,1.63429,0.00305,0.000155761,0.000155761,0.000155761
